record_id,participant_id,role,period,system_blind_code,task_id,task_set,bloom_task_level,start_timestamp,end_timestamp,completion_seconds,participant_response,system_output_id_or_log_path,task_completed,protocol_deviation,missing_reason,include_in_primary_analysis,notes,completion_seconds_derived
1,P001,General_user,1,SYS-R4,A-L1-01,A,L1,2026-04-07 09:10:16,2026-04-07 09:11:19,,水；《内经》,logs/userstudy/P001/SYS-R4/A-L1-01.json,Y,N,,Y,,63.0
2,P001,General_user,1,SYS-R4,A-L1-02,A,L1,2026-04-07 09:11:40,2026-04-07 09:12:44,,甘；平,logs/userstudy/P001/SYS-R4/A-L1-02.json,Y,N,,Y,,64.0
3,P001,General_user,1,SYS-R4,A-L2-01,A,L2,2026-04-07 09:12:56,2026-04-07 09:14:33,,心（脏腑）；温（食性）；心（脏腑）,logs/userstudy/P001/SYS-R4/A-L2-01.json,Y,N,,Y,,97.0
4,P001,General_user,1,SYS-R4,A-L2-02,A,L2,2026-04-07 09:14:49,2026-04-07 09:16:25,,水（食材）；水（食材）；选用食料的方（食疗方）,logs/userstudy/P001/SYS-R4/A-L2-02.json,Y,N,,Y,,96.0
5,P001,General_user,1,SYS-R4,A-L3-02,A,L3,2026-04-07 09:16:39,2026-04-07 09:19:00,,然多食生痰桑饮 —usesCookingMethod→ 腌,logs/userstudy/P001/SYS-R4/A-L3-02.json,Y,N,,Y,,141.0
6,P001,General_user,1,SYS-R4,A-L3-01,A,L3,2026-04-07 09:19:13,2026-04-07 09:20:35,,瓜 —hasNature→ 平,logs/userstudy/P001/SYS-R4/A-L3-01.json,Y,N,,Y,,82.0
7,P001,General_user,1,SYS-R4,A-L4-01,A,L4,2026-04-07 09:20:59,2026-04-07 09:23:19,,证据更充分的关系为：睡乡散 —recordedInText→ 《饮食谱》；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P001/SYS-R4/A-L4-01.json,Y,N,,Y,,140.0
8,P001,General_user,1,SYS-R4,A-L4-02,A,L4,2026-04-07 09:23:31,2026-04-07 09:26:04,,证据更充分的关系为：盐 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P001/SYS-R4/A-L4-02.json,Y,N,,Y,,153.0
9,P001,General_user,1,SYS-R4,A-L5-02,A,L5,2026-04-07 09:26:19,2026-04-07 09:29:14,,候选关系应按原文作用范围判断；本片段可保留：油 —hasNature→ 凉，跨段推断不应采纳。,logs/userstudy/P001/SYS-R4/A-L5-02.json,Y,N,,Y,,175.0
10,P001,General_user,1,SYS-R4,A-L5-01,A,L5,2026-04-07 09:29:22,2026-04-07 09:33:09,,候选关系应按原文作用范围判断；本片段可保留：水 —hasNature→ 寒，跨段推断不应采纳。,logs/userstudy/P001/SYS-R4/A-L5-01.json,Y,N,,Y,,227.0
11,P001,General_user,1,SYS-R4,A-L6-01,A,L6,2026-04-07 09:33:27,2026-04-07 09:36:28,,证据链：冻结原文 → 实体识别 → 油 —hasNature→ 大寒 → 上下文范围核验。,logs/userstudy/P001/SYS-R4/A-L6-01.json,Y,N,,Y,,181.0
12,P001,General_user,1,SYS-R4,A-L6-02,A,L6,2026-04-07 09:36:52,2026-04-07 09:40:18,,证据链：冻结原文 → 实体识别 → 水 —hasNature→ 凉 → 上下文范围核验。,logs/userstudy/P001/SYS-R4/A-L6-02.json,Y,N,,Y,,206.0
13,P001,General_user,2,SYS-T9,B-L1-01,B,L1,2026-04-07 10:00:36,2026-04-07 10:01:31,,温；消渴,logs/userstudy/P001/SYS-T9/B-L1-01.json,Y,N,,Y,,55.0
14,P001,General_user,2,SYS-T9,B-L1-02,B,L1,2026-04-07 10:01:39,2026-04-07 10:03:38,,盐；拌,logs/userstudy/P001/SYS-T9/B-L1-02.json,Y,N,,Y,,119.0
15,P001,General_user,2,SYS-T9,B-L2-01,B,L2,2026-04-07 10:03:52,2026-04-07 10:05:39,,《人世:间》（古籍来源）；《马蹄》（古籍来源）；或解作击散（食疗方）,logs/userstudy/P001/SYS-T9/B-L2-01.json,Y,N,,Y,,107.0
16,P001,General_user,2,SYS-T9,B-L2-02,B,L2,2026-04-07 10:05:59,2026-04-07 10:07:43,,油（食材）；水（食材）；水（食材）,logs/userstudy/P001/SYS-T9/B-L2-02.json,Y,N,,Y,,104.0
17,P001,General_user,2,SYS-T9,B-L3-02,B,L3,2026-04-07 10:07:57,2026-04-07 10:09:43,,内宫散 —containsIngredient→ 醋,logs/userstudy/P001/SYS-T9/B-L3-02.json,Y,N,,Y,,106.0
18,P001,General_user,2,SYS-T9,B-L3-01,B,L3,2026-04-07 10:10:06,2026-04-07 10:12:37,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P001/SYS-T9/B-L3-01.json,Y,N,,Y,,151.0
19,P001,General_user,2,SYS-T9,B-L4-02,B,L4,2026-04-07 10:12:45,2026-04-07 10:15:25,,证据更充分的关系为：米 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P001/SYS-T9/B-L4-02.json,Y,N,,Y,,160.0
20,P001,General_user,2,SYS-T9,B-L4-01,B,L4,2026-04-07 10:15:39,2026-04-07 10:18:02,,证据更充分的关系为：水 —hasNature→ 平；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P001/SYS-T9/B-L4-01.json,Y,N,,Y,,143.0
21,P001,General_user,2,SYS-T9,B-L5-02,B,L5,2026-04-07 10:18:18,2026-04-07 10:21:32,,候选关系应按原文作用范围判断；本片段可保留：水 —hasFlavor→ 涩，跨段推断不应采纳。,logs/userstudy/P001/SYS-T9/B-L5-02.json,Y,N,,Y,,194.0
22,P001,General_user,2,SYS-T9,B-L5-01,B,L5,2026-04-07 10:21:48,2026-04-07 10:25:45,,候选关系应按原文作用范围判断；本片段可保留：黄豆 —recordedInText→ 《摘录》，跨段推断不应采纳。,logs/userstudy/P001/SYS-T9/B-L5-01.json,Y,N,,Y,,237.0
23,P001,General_user,2,SYS-T9,B-L6-01,B,L6,2026-04-07 10:25:57,2026-04-07 10:30:21,,原文能确认相关实体，但关系方向和作用范围仍不够明确。,logs/userstudy/P001/SYS-T9/B-L6-01.json,Y,N,,Y,,264.0
24,P001,General_user,2,SYS-T9,B-L6-02,B,L6,2026-04-07 10:30:34,2026-04-07 10:34:51,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P001/SYS-T9/B-L6-02.json,Y,N,,Y,,257.0
25,P002,General_user,1,SYS-T9,B-L1-01,B,L1,2026-04-07 14:10:28,2026-04-07 14:12:24,,温；消渴,logs/userstudy/P002/SYS-T9/B-L1-01.json,Y,N,,Y,,116.0
26,P002,General_user,1,SYS-T9,B-L1-02,B,L1,2026-04-07 14:12:35,2026-04-07 14:13:59,,盐；拌,logs/userstudy/P002/SYS-T9/B-L1-02.json,Y,N,,Y,,84.0
27,P002,General_user,1,SYS-T9,B-L2-02,B,L2,2026-04-07 14:14:16,2026-04-07 14:16:47,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P002/SYS-T9/B-L2-02.json,Y,N,,Y,,151.0
28,P002,General_user,1,SYS-T9,B-L2-01,B,L2,2026-04-07 14:17:02,2026-04-07 14:19:14,,《人世:间》（古籍来源）；《马蹄》（古籍来源）；或解作击散（食疗方）,logs/userstudy/P002/SYS-T9/B-L2-01.json,Y,N,,Y,,132.0
29,P002,General_user,1,SYS-T9,B-L3-02,B,L3,2026-04-07 14:19:34,2026-04-07 14:22:30,,内宫散 —containsIngredient→ 醋,logs/userstudy/P002/SYS-T9/B-L3-02.json,Y,N,,Y,,176.0
30,P002,General_user,1,SYS-T9,B-L3-01,B,L3,2026-04-07 14:22:51,2026-04-07 14:25:23,,水 —hasEffect→ 清热,logs/userstudy/P002/SYS-T9/B-L3-01.json,Y,N,,Y,,152.0
31,P002,General_user,1,SYS-T9,B-L4-01,B,L4,2026-04-07 14:25:41,2026-04-07 14:28:59,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P002/SYS-T9/B-L4-01.json,Y,N,,Y,,198.0
32,P002,General_user,1,SYS-T9,B-L4-02,B,L4,2026-04-07 14:29:22,2026-04-07 14:33:50,,证据更充分的关系为：米 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P002/SYS-T9/B-L4-02.json,Y,N,,Y,,268.0
33,P002,General_user,1,SYS-T9,B-L5-02,B,L5,2026-04-07 14:34:00,2026-04-07 14:37:08,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P002/SYS-T9/B-L5-02.json,Y,N,,Y,,188.0
34,P002,General_user,1,SYS-T9,B-L5-01,B,L5,2026-04-07 14:37:28,2026-04-07 14:41:21,,候选关系应按原文作用范围判断；本片段可保留：黄豆 —recordedInText→ 《摘录》，跨段推断不应采纳。,logs/userstudy/P002/SYS-T9/B-L5-01.json,Y,N,,Y,,233.0
35,P002,General_user,1,SYS-T9,B-L6-01,B,L6,2026-04-07 14:41:29,2026-04-07 14:44:57,,证据链：冻结原文 → 实体识别 → 酒 —hasNature→ 寒 → 上下文范围核验。,logs/userstudy/P002/SYS-T9/B-L6-01.json,Y,N,,Y,,208.0
36,P002,General_user,1,SYS-T9,B-L6-02,B,L6,2026-04-07 14:45:12,2026-04-07 14:49:04,,原文能确认相关实体，但关系方向和作用范围仍不够明确。,logs/userstudy/P002/SYS-T9/B-L6-02.json,Y,N,,Y,,232.0
37,P002,General_user,2,SYS-R4,A-L1-02,A,L1,2026-04-07 15:09:26,2026-04-07 15:10:17,,甘；平,logs/userstudy/P002/SYS-R4/A-L1-02.json,Y,N,,Y,,51.0
38,P002,General_user,2,SYS-R4,A-L1-01,A,L1,2026-04-07 15:10:33,2026-04-07 15:11:09,,水；《内经》,logs/userstudy/P002/SYS-R4/A-L1-01.json,Y,N,,Y,,36.0
39,P002,General_user,2,SYS-R4,A-L2-02,A,L2,2026-04-07 15:11:30,2026-04-07 15:12:49,,水（食材）；水（食材）；选用食料的方（食疗方）,logs/userstudy/P002/SYS-R4/A-L2-02.json,Y,N,,Y,,79.0
40,P002,General_user,2,SYS-R4,A-L2-01,A,L2,2026-04-07 15:12:57,2026-04-07 15:14:01,,心（脏腑）；温（食性）；心（脏腑）,logs/userstudy/P002/SYS-R4/A-L2-01.json,Y,N,,Y,,64.0
41,P002,General_user,2,SYS-R4,A-L3-02,A,L3,2026-04-07 15:14:20,2026-04-07 15:15:57,,然多食生痰桑饮 —usesCookingMethod→ 腌,logs/userstudy/P002/SYS-R4/A-L3-02.json,Y,N,,Y,,97.0
