review_id,sample_id,head_text,head_type,head_start,head_end,relation,tail_text,tail_type,tail_start,tail_end,expert1_decision,expert1_evidence,expert1_notes,expert2_decision,expert2_evidence,expert2_notes,agreement_status,final_decision,final_source,final_evidence_or_reason,candidate_key_json
REL-00493930264BE6EE,HR-0101,又取磔中血制汤,食疗方,99,106,usesCookingMethod,拌,烹饪方法,131,132,present,"又取磔中血制汤以进。他家则不然。 鸡丝 ~鸡为丝,秋油。芥末。醋拌",,present,"又取磔中血制汤以进。他家则不然。 鸡丝 ~鸡为丝,秋油。芥末。醋拌",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0101"",99,106,""又取磔中血制汤"",""食疗方"",""usesCookingMethod"",131,132,""拌"",""烹饪方法""]"
REL-012B3731BC0F3426,HR-0442,苋日食粥,食疗方,355,359,containsIngredient,水,食材,132,133,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0442"",355,359,""苋日食粥"",""食疗方"",""containsIngredient"",132,133,""水"",""食材""]"
REL-015ADED43B458E9D,HR-0144,水,食材,257,258,hasFlavor,淡,食味,279,280,present,"仅是伴鱼而止; 水多-口, 则鱼淡一分。司厨婢子所利在汤。",依据局部原文直接判断。,present,"仅是伴鱼而止; 水多-口, 则鱼淡一分。司厨婢子所利在汤。",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0144"",257,258,""水"",""食材"",""hasFlavor"",279,280,""淡"",""食味""]"
REL-015B6D767C716E02,HR-0426,慎勿伤,养生原则,253,256,recommendsIngredient,米,食材,100,101,absent,,候选方向与原文语义不一致。,absent,,候选方向与原文语义不一致。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0426"",253,256,""慎勿伤"",""养生原则"",""recommendsIngredient"",100,101,""米"",""食材""]"
REL-01710CD602CEEBC3,HR-0353,山药为丸,食疗方,212,216,containsIngredient,醋,食材,88,89,absent,,候选方向与原文语义不一致。,present,醋煮。可留十日。 收 放 薰 肉 大缸一个。洁净。置犬坛烧酒于缸底; 上加竹篾。贮肉 篾上。纸糊缸几,,disagreement,present,third_expert_adjudication,醋煮。可留十日。 收 放 薰 肉 大缸一个。洁净。置犬坛烧酒于缸底; 上加竹篾。贮肉 篾上。纸糊缸几；原文中头尾实体位于同一语义单元，关系方向“containsIngredient”有直接文字或条目结构支持。 两位专家原判断分别为 absent / present，最终以冻结原文和实体边界复核结果为准。,"[""HR-0353"",212,216,""山药为丸"",""食疗方"",""containsIngredient"",88,89,""醋"",""食材""]"
REL-017849F0ACF493F2,HR-0430,酒,食疗方,61,62,containsIngredient,酒,食材,38,39,present,哂笑。然店肆饮 酒。在人出著; 且如下酒品,,present,哂笑。然店肆饮 酒。在人出著; 且如下酒品,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0430"",61,62,""酒"",""食疗方"",""containsIngredient"",38,39,""酒"",""食材""]"
REL-0183CD10AFE794BB,HR-0300,酒,食材,255,256,hasEffect,益气,功效,419,421,present,"酒二升[11 _ 煮如 饧服; 未止再服。风凰胎。 即鸡卵^2 ]抱[3]己成)而末出者, 用为伤科",,present,"酒二升[11 _ 煮如 饧服; 未止再服。风凰胎。 即鸡卵^2 ]抱[3]己成)而末出者, 用为伤科",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0300"",255,256,""酒"",""食材"",""hasEffect"",419,421,""益气"",""功效""]"
REL-01B9D254478F48F4,HR-0420,风气,病症,31,33,affectsOrgan,肝,脏腑,89,90,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0420"",31,33,""风气"",""病症"",""affectsOrgan"",89,90,""肝"",""脏腑""]"
REL-0200531DD11D7C5F,HR-0128,米,食材,126,127,treats,便秘,病症,254,256,absent,,候选方向与原文语义不一致。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0128"",126,127,""米"",""食材"",""treats"",254,256,""便秘"",""病症""]"
REL-021C31C5F997628E,HR-0420,水,食材,197,198,treats,咳嗽,病症,75,77,absent,,尾实体属于相邻条目或另一语义单元。,absent,,候选方向与原文语义不一致。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0420"",197,198,""水"",""食材"",""treats"",75,77,""咳嗽"",""病症""]"
