id,n_a,n_b,n_gold,明细数量,仲裁结果
2,23,29,23,23,"[{""label"":""食材"",""text"":""薄荷""},{""label"":""食材"",""text"":""白糖""},{""label"":""食材"",""text"":""荚豆粉""},{""label"":""食材"",""text"":""白檀末""},{""label"":""食材"",""text"":""面""},{""label"":""食材"",""text"":""香油""},{""label"":""食材"",""text"":""玫瑰糖""},{""label"":""食材"",""text"":""胡桃白仁""},{""label"":""食材"",""text"":""杏仁""},{""label"":""食材"",""text"":""小茴香末""},{""label"":""食材"",""text"":""松子仁""},{""label"":""食材"",""text"":""干葛""},{""label"":""食材"",""text"":""桔梗""},{""label"":""食材"",""text"":""玫瑰花""},{""label"":""食材"",""text"":""榛子仁""},{""label"":""食材"",""text"":""瓜子仁""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""烙""},{""label"":""烹饪方法"",""text"":""煎""},{""label"":""烹饪方法"",""text"":""炒""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""食疗方"",""text"":""内府玫瑰火饼""},{""label"":""古籍来源"",""text"":""玉躇痛""}]"
3,43,14,29,29,"[{""label"":""食材"",""text"":""白糖霜""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""煎""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""烹饪方法"",""text"":""澄漂""},{""label"":""禁忌"",""text"":""饮之损人""},{""label"":""禁忌"",""text"":""着衣服上即霉烂""},{""label"":""养生原则"",""text"":""多备大缸贮下""},{""label"":""养生原则"",""text"":""急旋成窝耶住手""},{""label"":""养生原则"",""text"":""勿触动""},{""label"":""养生原则"",""text"":""舀至七分耶止""},{""label"":""养生原则"",""text"":""其周围白滓及底下泥连水淘冼""},{""label"":""养生原则"",""text"":""然后将别缸水如前法舀过""},{""label"":""养生原则"",""text"":""逐缸搬运毕""},{""label"":""养生原则"",""text"":""三日后舀过缸""},{""label"":""养生原则"",""text"":""剩去泥滓""},{""label"":""养生原则"",""text"":""如此三遍""},{""label"":""养生原则"",""text"":""人水煮滚透""},{""label"":""养生原则"",""text"":""舀取入坛""},{""label"":""养生原则"",""text"":""然后人水""},{""label"":""养生原则"",""text"":""盖好""},{""label"":""养生原则"",""text"":""亦须以绵绸滤去水中细""},{""label"":""养生原则"",""text"":""秋冬水清""},{""label"":""养生原则"",""text"":""山泉亦以源远流长者为佳""},{""label"":""养生原则"",""text"":""若深潭停蓄之水""},{""label"":""养生原则"",""text"":""无有来源""},{""label"":""养生原则"",""text"":""且不流出""},{""label"":""养生原则"",""text"":""但从凹山聚入者亦防有毒""},{""label"":""养生原则"",""text"":""故必久宿乃妙""}]"
4,32,19,19,19,"[{""label"":""食材"",""text"":""麻菇""},{""label"":""食材"",""text"":""鲜笋""},{""label"":""食材"",""text"":""海蜇""},{""label"":""食材"",""text"":""蹄爪""},{""label"":""食材"",""text"":""石花莱""},{""label"":""食材"",""text"":""大蹄""},{""label"":""食材"",""text"":""核桃""},{""label"":""食材"",""text"":""松仁""},{""label"":""食材"",""text"":""肉""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""煨""},{""label"":""烹饪方法"",""text"":""糟""},{""label"":""烹饪方法"",""text"":""挂""},{""label"":""烹饪方法"",""text"":""填""},{""label"":""烹饪方法"",""text"":""扎""},{""label"":""烹饪方法"",""text"":""捞""},{""label"":""烹饪方法"",""text"":""切片""},{""label"":""烹饪方法"",""text"":""蘸""}]"
5,20,28,23,23,"[{""label"":""食材"",""text"":""豆腐""},{""label"":""食材"",""text"":""水酱""},{""label"":""食材"",""text"":""赤酱""},{""label"":""食材"",""text"":""香蕈""},{""label"":""食材"",""text"":""丁香""},{""label"":""食材"",""text"":""白芷""},{""label"":""食材"",""text"":""大茴香""},{""label"":""食材"",""text"":""桧皮""},{""label"":""食材"",""text"":""虾米""},{""label"":""烹饪方法"",""text"":""煎""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""油煎""},{""label"":""烹饪方法"",""text"":""炸""},{""label"":""烹饪方法"",""text"":""烧""},{""label"":""烹饪方法"",""text"":""浸""},{""label"":""烹饪方法"",""text"":""布沥汁""},{""label"":""烹饪方法"",""text"":""去渣""},{""label"":""烹饪方法"",""text"":""滚油内沸""},{""label"":""烹饪方法"",""text"":""调味得所""},{""label"":""烹饪方法"",""text"":""浸开饭锅顿过""},{""label"":""食疗方"",""text"":""豆腐脯""},{""label"":""食疗方"",""text"":""豆腐汤""},{""label"":""食疗方"",""text"":""煎豆腐""}]"
6,35,39,29,29,"[{""label"":""食材"",""text"":""太湖沙""},{""label"":""食材"",""text"":""海沙""},{""label"":""食材"",""text"":""豆""},{""label"":""食材"",""text"":""香油""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""砂仁""},{""label"":""食材"",""text"":""糖卤""},{""label"":""食材"",""text"":""豆腐""},{""label"":""食材"",""text"":""千豆""},{""label"":""食材"",""text"":""黑豆""},{""label"":""食材"",""text"":""黄豆""},{""label"":""食材"",""text"":""白豆""},{""label"":""食材"",""text"":""泥豆""},{""label"":""食材"",""text"":""豌豆""},{""label"":""食材"",""text"":""绿豆""},{""label"":""食材"",""text"":""山矾叶""},{""label"":""食材"",""text"":""醋浆""},{""label"":""食材"",""text"":""醋淀""},{""label"":""食材"",""text"":""石膏""},{""label"":""烹饪方法"",""text"":""炒""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""烹饪方法"",""text"":""磨""},{""label"":""烹饪方法"",""text"":""沥""},{""label"":""烹饪方法"",""text"":""绞""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""功效"",""text"":""去火""},{""label"":""古籍来源"",""text"":""本草纲目""},{""label"":""医家"",""text"":""刘安""},{""label"":""医家"",""text"":""苏东坡""}]"
7,21,36,19,19,"[{""label"":""食材"",""text"":""梅""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""紫苏""},{""label"":""食材"",""text"":""白糖""},{""label"":""食材"",""text"":""青梅""},{""label"":""食材"",""text"":""大黑豆""},{""label"":""食材"",""text"":""大黄豆""},{""label"":""食材"",""text"":""大青豆""},{""label"":""食材"",""text"":""面""},{""label"":""食材"",""text"":""苦瓜皮""},{""label"":""食材"",""text"":""杏仁""},{""label"":""烹饪方法"",""text"":""晒""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""腌""},{""label"":""烹饪方法"",""text"":""拌""},{""label"":""烹饪方法"",""text"":""顿""},{""label"":""功效"",""text"":""消暑""},{""label"":""食味"",""text"":""咸""},{""label"":""食味"",""text"":""甜""}]"
8,22,30,18,18,"[{""label"":""食材"",""text"":""枸杞""},{""label"":""食材"",""text"":""白糖""},{""label"":""食材"",""text"":""松仁""},{""label"":""食材"",""text"":""黄甘菊""},{""label"":""食材"",""text"":""梅卤""},{""label"":""食材"",""text"":""山查""},{""label"":""食材"",""text"":""红花膏""},{""label"":""食材"",""text"":""蜂蜜""},{""label"":""食材"",""text"":""梨""},{""label"":""食味"",""text"":""苦""},{""label"":""功效"",""text"":""清热""},{""label"":""烹饪方法"",""text"":""拌捣""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""熬""},{""label"":""食疗方"",""text"":""杞饼""},{""label"":""食疗方"",""text"":""菊饼""},{""label"":""食疗方"",""text"":""山查膏""}]"
9,43,47,42,42,"[{""label"":""食材"",""text"":""生面""},{""label"":""食材"",""text"":""蒸面""},{""label"":""食材"",""text"":""脂油""},{""label"":""食材"",""text"":""豆粉""},{""label"":""食材"",""text"":""蜜""},{""label"":""食材"",""text"":""油""},{""label"":""食材"",""text"":""天花粉""},{""label"":""食材"",""text"":""干葛""},{""label"":""食材"",""text"":""桔梗""},{""label"":""食材"",""text"":""薄荷""},{""label"":""食材"",""text"":""瓜蒌""},{""label"":""食材"",""text"":""葛根""},{""label"":""食味"",""text"":""甜""},{""label"":""功效"",""text"":""清热""},{""label"":""功效"",""text"":""解渴""},{""label"":""功效"",""text"":""解莓""},{""label"":""功效"",""text"":""消肿""},{""label"":""功效"",""text"":""发汗""},{""label"":""功效"",""text"":""解热""},{""label"":""功效"",""text"":""止泻""},{""label"":""功效"",""text"":""祛痰""},{""label"":""功效"",""text"":""排脓""},{""label"":""病症"",""text"":""发热""},{""label"":""病症"",""text"":""口渴""},{""label"":""病症"",""text"":""疮""},{""label"":""病症"",""text"":""疡""},{""label"":""病症"",""text"":""痈""},{""label"":""病症"",""text"":""肿""},{""label"":""病症"",""text"":""头痛""},{""label"":""病症"",""text"":""热痢""},{""label"":""病症"",""text"":""泄泻""},{""label"":""病症"",""text"":""麻疹发高热""},{""label"":""病症"",""text"":""疹子透发不畅""},{""label"":""病症"",""text"":""咳嗽痰多""},{""label"":""病症"",""text"":""咳痰不爽""},{""label"":""病症"",""text"":""咽喉肿痛""},{""label"":""病症"",""text"":""痢疾腹痛""},{""label"":""病症"",""text"":""里怠后重""},{""label"":""病症"",""text"":""疮疡化脓肿痛""},{""label"":""烹饪方法"",""text"":""包馅""},{""label"":""烹饪方法"",""text"":""入炉""},{""label"":""烹饪方法"",""text"":""研成细粉""}]"
10,25,24,16,16,"[{""label"":""食材"",""text"":""猪肚""},{""label"":""食材"",""text"":""小肠""},{""label"":""食材"",""text"":""莲肉""},{""label"":""食材"",""text"":""百合""},{""label"":""食材"",""text"":""薏米""},{""label"":""食材"",""text"":""猪腿精肉""},{""label"":""食材"",""text"":""羊肉""},{""label"":""食材"",""text"":""核桃""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""焯""},{""label"":""烹饪方法"",""text"":""拌""},{""label"":""烹饪方法"",""text"":""槌""},{""label"":""烹饪方法"",""text"":""切""},{""label"":""烹饪方法"",""text"":""装""},{""label"":""烹饪方法"",""text"":""缝""},{""label"":""烹饪方法"",""text"":""磨粉""}]"
11,30,33,22,22,"[{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""茴香""},{""label"":""食材"",""text"":""花椒""},{""label"":""食材"",""text"":""面饼""},{""label"":""食材"",""text"":""香糟""},{""label"":""食材"",""text"":""豆粉""},{""label"":""食材"",""text"":""酱油""},{""label"":""食材"",""text"":""鹅""},{""label"":""食材"",""text"":""鸭""},{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""豆""},{""label"":""食材"",""text"":""桂皮""},{""label"":""食材"",""text"":""黄酒""},{""label"":""食材"",""text"":""葱""},{""label"":""食材"",""text"":""肉""},{""label"":""食材"",""text"":""牛""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""烹饪方法"",""text"":""炒""},{""label"":""烹饪方法"",""text"":""烹""},{""label"":""烹饪方法"",""text"":""擂""},{""label"":""食疗方"",""text"":""鸡醢""}]"
