analysis_set,method,relation,gold,predicted,tp,fp,fn,precision,recall,f1
primary_present_vs_all_nonpresent,typed_cooccurrence,affectsOrgan,18,40,18,22,0,0.45,1.0,0.6206896551724138
primary_present_vs_all_nonpresent,typed_cooccurrence,authoredBy,0,12,0,12,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,typed_cooccurrence,containsIngredient,94,232,94,138,0,0.4051724137931034,1.0,0.5766871165644172
primary_present_vs_all_nonpresent,typed_cooccurrence,correspondsToOrgan,3,7,3,4,0,0.42857142857142855,1.0,0.6
primary_present_vs_all_nonpresent,typed_cooccurrence,entersmeridian,0,5,0,5,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,typed_cooccurrence,hasEffect,10,45,10,35,0,0.2222222222222222,1.0,0.3636363636363636
primary_present_vs_all_nonpresent,typed_cooccurrence,hasFlavor,72,188,72,116,0,0.3829787234042553,1.0,0.5538461538461539
primary_present_vs_all_nonpresent,typed_cooccurrence,hasNature,40,99,40,59,0,0.40404040404040403,1.0,0.5755395683453237
primary_present_vs_all_nonpresent,typed_cooccurrence,recommendsIngredient,1,4,1,3,0,0.25,1.0,0.4
primary_present_vs_all_nonpresent,typed_cooccurrence,recordedInText,87,257,87,170,0,0.33852140077821014,1.0,0.5058139534883721
primary_present_vs_all_nonpresent,typed_cooccurrence,treatedByRecipe,12,46,12,34,0,0.2608695652173913,1.0,0.41379310344827586
primary_present_vs_all_nonpresent,typed_cooccurrence,treats,12,62,12,50,0,0.1935483870967742,1.0,0.3243243243243243
primary_present_vs_all_nonpresent,typed_cooccurrence,usesCookingMethod,96,165,96,69,0,0.5818181818181818,1.0,0.735632183908046
primary_present_vs_all_nonpresent,distance_trigger_heuristic,affectsOrgan,18,33,16,17,2,0.48484848484848486,0.8888888888888888,0.6274509803921569
primary_present_vs_all_nonpresent,distance_trigger_heuristic,authoredBy,0,5,0,5,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,distance_trigger_heuristic,containsIngredient,94,104,53,51,41,0.5096153846153846,0.5638297872340425,0.5353535353535352
primary_present_vs_all_nonpresent,distance_trigger_heuristic,correspondsToOrgan,3,5,3,2,0,0.6,1.0,0.7499999999999999
primary_present_vs_all_nonpresent,distance_trigger_heuristic,entersmeridian,0,3,0,3,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,distance_trigger_heuristic,hasEffect,10,24,5,19,5,0.20833333333333334,0.5,0.29411764705882354
primary_present_vs_all_nonpresent,distance_trigger_heuristic,hasFlavor,72,86,48,38,24,0.5581395348837209,0.6666666666666666,0.6075949367088608
primary_present_vs_all_nonpresent,distance_trigger_heuristic,hasNature,40,48,24,24,16,0.5,0.6,0.5454545454545454
primary_present_vs_all_nonpresent,distance_trigger_heuristic,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
primary_present_vs_all_nonpresent,distance_trigger_heuristic,recordedInText,87,128,59,69,28,0.4609375,0.6781609195402298,0.5488372093023256
primary_present_vs_all_nonpresent,distance_trigger_heuristic,treatedByRecipe,12,37,11,26,1,0.2972972972972973,0.9166666666666666,0.4489795918367347
primary_present_vs_all_nonpresent,distance_trigger_heuristic,treats,12,42,9,33,3,0.21428571428571427,0.75,0.3333333333333333
primary_present_vs_all_nonpresent,distance_trigger_heuristic,usesCookingMethod,96,45,35,10,61,0.7777777777777778,0.3645833333333333,0.49645390070921985
primary_present_vs_all_nonpresent,fixed_charngram_comparator,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
primary_present_vs_all_nonpresent,fixed_charngram_comparator,authoredBy,0,0,0,0,0,0.0,0.0,0.0
