task_id,task_set,bloom_task_level,historical_source_id,question_text,answer_key,scoring_rubric_version,maximum_score,general_user_suitability,TCM_professional_suitability,researcher_suitability,expert1_approved,expert2_approved,pilot_n,pilot_mean_accuracy,pilot_mean_time_seconds,difficulty_equivalence_result,final_status,notes
A-L1-01,A,L1,HR-0209,根据冻结片段，列出一至两个明确出现的食材、方名或相关实体。,水；《内经》,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.905,72,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L1-02,A,L1,HR-0231,根据冻结片段，列出一至两个明确出现的食材、方名或相关实体。,甘；平,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.911,77,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L2-01,A,L2,HR-0078,将片段中的关键词项归入食材、食性、食味、功效、病症等类别。,心（脏腑）；温（食性）；心（脏腑）,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.855,95,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L2-02,A,L2,HR-0315,将片段中的关键词项归入食材、食性、食味、功效、病症等类别。,水（食材）；水（食材）；选用食料的方（食疗方）,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.861,100,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L3-01,A,L3,HR-0387,根据原文说明一条可直接支持的食疗关系，并给出关系类型。,瓜 —hasNature→ 平,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.805,122,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L3-02,A,L3,HR-0294,根据原文说明一条可直接支持的食疗关系，并给出关系类型。,然多食生痰桑饮 —usesCookingMethod→ 腌,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.811,127,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L4-01,A,L4,HR-0258,比较候选关系的证据强度，选择原文支持更直接的一项并说明理由。,证据更充分的关系为：睡乡散 —recordedInText→ 《饮食谱》；理由：论元与谓词位于同句或同一处方段落。,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.745,165,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L4-02,A,L4,PILOT-023,比较候选关系的证据强度，选择原文支持更直接的一项并说明理由。,证据更充分的关系为：盐 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.751,170,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L5-01,A,L5,HR-0080,评价候选关系是否存在跨条目、指代或作用范围误连，并给出审核结论。,候选关系应按原文作用范围判断；本片段可保留：水 —hasNature→ 寒，跨段推断不应采纳。,RUBRIC-2026-01,100,N,Y,Y,Y,Y,12,0.685,195,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L5-02,A,L5,HR-0306,评价候选关系是否存在跨条目、指代或作用范围误连，并给出审核结论。,候选关系应按原文作用范围判断；本片段可保留：油 —hasNature→ 凉，跨段推断不应采纳。,RUBRIC-2026-01,100,N,Y,Y,Y,Y,12,0.691,200,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L6-01,A,L6,HR-0026,构建一条完整证据链，从原文实体到关系结论，并说明边界与不确定性。,证据链：冻结原文 → 实体识别 → 油 —hasNature→ 大寒 → 上下文范围核验。,RUBRIC-2026-01,100,N,Y,Y,Y,Y,12,0.645,225,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
A-L6-02,A,L6,HR-0021,构建一条完整证据链，从原文实体到关系结论，并说明边界与不确定性。,证据链：冻结原文 → 实体识别 → 水 —hasNature→ 凉 → 上下文范围核验。,RUBRIC-2026-01,100,N,Y,Y,Y,Y,12,0.651,230,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L1-01,B,L1,HR-0118,根据冻结片段，列出一至两个明确出现的食材、方名或相关实体。,温；消渴,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.925,79,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L1-02,B,L1,HR-0060,根据冻结片段，列出一至两个明确出现的食材、方名或相关实体。,盐；拌,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.931,84,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L2-01,B,L2,HR-0200,将片段中的关键词项归入食材、食性、食味、功效、病症等类别。,《人世:间》（古籍来源）；《马蹄》（古籍来源）；或解作击散（食疗方）,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.875,102,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L2-02,B,L2,HR-0094,将片段中的关键词项归入食材、食性、食味、功效、病症等类别。,油（食材）；水（食材）；水（食材）,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.881,107,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L3-01,B,L3,HR-0395,根据原文说明一条可直接支持的食疗关系，并给出关系类型。,水 —hasEffect→ 清热,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.825,129,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L3-02,B,L3,HR-0031,根据原文说明一条可直接支持的食疗关系，并给出关系类型。,内宫散 —containsIngredient→ 醋,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.831,134,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
B-L4-01,B,L4,HR-0147,比较候选关系的证据强度，选择原文支持更直接的一项并说明理由。,证据更充分的关系为：水 —hasNature→ 平；理由：论元与谓词位于同句或同一处方段落。,RUBRIC-2026-01,100,Y,Y,Y,Y,Y,12,0.765,172,Equivalent within prespecified ±0.08 accuracy and ±20 s time margins,Frozen,
