method,label,n_test_passages,gold_entities,predicted_entities,tp,fp,fn,precision,recall,f1
train_lexicon_longest_match,micro_all,152,3724,13013,554,12459,3170,0.04257281180358104,0.14876476906552094,0.06620063332735855
train_lexicon_longest_match,食材,152,1361,5038,234,4804,1127,0.04644700277888051,0.1719324026451139,0.07313642756680731
train_lexicon_longest_match,食性,152,120,491,21,470,99,0.04276985743380855,0.175,0.06873977086743044
train_lexicon_longest_match,食味,152,156,467,40,427,116,0.08565310492505353,0.2564102564102564,0.12841091492776885
train_lexicon_longest_match,归经,152,16,10,0,10,16,0.0,0.0,0.0
train_lexicon_longest_match,功效,152,481,442,46,396,435,0.10407239819004525,0.09563409563409564,0.09967497291440953
train_lexicon_longest_match,病症,152,482,736,38,698,444,0.051630434782608696,0.07883817427385892,0.06239737274220033
train_lexicon_longest_match,脏腑,152,34,238,11,227,23,0.046218487394957986,0.3235294117647059,0.08088235294117647
train_lexicon_longest_match,食疗方,152,67,21,1,20,66,0.047619047619047616,0.014925373134328358,0.022727272727272728
train_lexicon_longest_match,烹饪方法,152,594,5042,124,4918,470,0.02459341531138437,0.20875420875420875,0.04400283889283179
train_lexicon_longest_match,禁忌,152,181,105,4,101,177,0.0380952380952381,0.022099447513812154,0.027972027972027972
train_lexicon_longest_match,养生原则,152,26,120,0,120,26,0.0,0.0,0.0
train_lexicon_longest_match,医家,152,59,60,6,54,53,0.1,0.1016949152542373,0.10084033613445378
train_lexicon_longest_match,古籍来源,152,147,243,29,214,118,0.11934156378600823,0.19727891156462585,0.14871794871794872
tuned_train_lexicon_longest_match,micro_all,152,3724,3860,340,3520,3384,0.08808290155440414,0.09129967776584318,0.08966244725738397
tuned_train_lexicon_longest_match,食材,152,1361,1192,139,1053,1222,0.11661073825503356,0.10213078618662748,0.10889150019584802
tuned_train_lexicon_longest_match,食性,152,120,500,21,479,99,0.042,0.175,0.06774193548387096
tuned_train_lexicon_longest_match,食味,152,156,467,40,427,116,0.08565310492505353,0.2564102564102564,0.12841091492776885
tuned_train_lexicon_longest_match,归经,152,16,10,0,10,16,0.0,0.0,0.0
tuned_train_lexicon_longest_match,功效,152,481,404,45,359,436,0.11138613861386139,0.09355509355509356,0.1016949152542373
tuned_train_lexicon_longest_match,病症,152,482,357,36,321,446,0.10084033613445378,0.07468879668049792,0.08581644815256258
tuned_train_lexicon_longest_match,脏腑,152,34,43,1,42,33,0.023255813953488372,0.029411764705882353,0.025974025974025976
tuned_train_lexicon_longest_match,食疗方,152,67,21,1,20,66,0.047619047619047616,0.014925373134328358,0.022727272727272728
tuned_train_lexicon_longest_match,烹饪方法,152,594,469,18,451,576,0.03837953091684435,0.030303030303030304,0.03386641580432738
tuned_train_lexicon_longest_match,禁忌,152,181,86,4,82,177,0.046511627906976744,0.022099447513812154,0.029962546816479398
tuned_train_lexicon_longest_match,养生原则,152,26,8,0,8,26,0.0,0.0,0.0
tuned_train_lexicon_longest_match,医家,152,59,60,6,54,53,0.1,0.1016949152542373,0.10084033613445378
tuned_train_lexicon_longest_match,古籍来源,152,147,243,29,214,118,0.11934156378600823,0.19727891156462585,0.14871794871794872
